Copier Margin,Block Number,Cumulative Copier Dividends,Cumulative Average Delegate Dividends,Gini Coefficient,Encryption Window,Encryption Window Length
0.08999999999999999667,3707280,58603.0,53834.091076824094,0.2886,37,17
0.08999999999999999667,3709800,24190.0,22214.991419602953,0.2643,38,7
0.08999999999999999667,3717360,72500.0,66643.62164837641,0.2914,39,21
0.08999999999999999667,3717720,3445.0,3175.121759008932,0.0000,40,1
0.08999999999999999667,3721320,34569.0,31741.402537270656,0.2671,41,10
0.08999999999999999667,3724560,31100.0,28567.651429590656,0.2627,42,9
0.08999999999999999667,3727800,31131.0,28565.2970087471,0.2704,43,9
0.08999999999999999667,3732120,41442.0,38088.88940183058,0.2723,44,12
0.08999999999999999667,3737160,48393.0,44429.43980765024,0.2934,45,14
0.08999999999999999667,3740760,34587.0,31736.17775996889,0.2863,46,10
